study_id,study_short_name,variant_id,variant_name,variant_kind,level,n_rows,n_success,graph_score_mean,graph_score_std,spearman_good_neutral_bad,auc_good_vs_bad
5,graph_component_ablation,base,Baseline,baseline,graph-head,6480,6480,0.6507806803643709,0.21891990160116293,0.010726267205172018,0.5060144346431436
5,graph_component_ablation,zero_bridge_coverage,Zero graph component weight: bridge_coverage,graph_weight_zero,graph-head,6480,6480,0.6624282490607143,0.19576634243190724,-0.019612071075686105,0.4859663191659984
5,graph_component_ablation,zero_best_path,Zero graph component weight: best_path,graph_weight_zero,graph-head,6480,6480,0.7215248419239313,0.2532496831380448,0.03814565408265546,0.5220529270248596
5,graph_component_ablation,zero_redundancy,Zero graph component weight: redundancy,graph_weight_zero,graph-head,6480,6480,0.6369387816279454,0.21032317391842678,0.011453074381915914,0.5068163592622293
5,graph_component_ablation,zero_fragility,Zero graph component weight: fragility,graph_weight_zero,graph-head,6480,6480,0.6096219725687025,0.2520712589998659,-0.0018990768166534066,0.49799518845228546
5,graph_component_ablation,zero_coherence,Zero graph component weight: coherence,graph_weight_zero,graph-head,6480,6480,0.6326303003941436,0.20841030187483903,0.03461712246652784,0.5212510024057738
5,graph_component_ablation,zero_coverage,Zero graph component weight: coverage,graph_weight_zero,graph-head,6480,6480,0.6522163024016558,0.20643532129819037,0.00576756662835479,0.4987971130713713
5,graph_component_ablation,only_best_path,best_path only,graph_weight_single_component,graph-head,6480,6480,0.4385481956856897,0.15668807312007701,-0.12264284972733296,0.42261427425821974
5,graph_component_ablation,only_bridge_coverage,bridge_coverage only,graph_weight_single_component,graph-head,6480,6480,0.6158379742753407,0.3136993192144292,0.06755789934798508,0.5437048917401764
5,graph_component_ablation,only_coherence,coherence only,graph_weight_single_component,graph-head,6480,6480,0.814134100096416,0.3496590021230838,-0.134806688827254,0.4065757818765036
5,graph_component_ablation,only_coverage,coverage only,graph_weight_single_component,graph-head,6480,6480,0.6378600820288065,0.4016342835809958,0.06593709581983015,0.5388933440256616
