k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.45128712,,,,
0,1,1,0.44959266,,,,
0,2,1,0.45153947,,,,
0,3,1,0.45342914,,,,
0,4,1,0.45036876,,,,
0,5,1,0.45245731,,,,
0,6,1,0.44083087,,,,
0,7,1,0.44518488,,,,
1,0,1,0.53986602,,,,
1,1,1,0.53386133,,,,
1,2,1,0.54700925,,,,
1,3,1,0.53693729,,,,
1,4,1,0.54142168,,,,
1,5,1,0.53811314,,,,
1,6,1,0.54021490,,,,
1,7,1,0.54053077,,,,
2,0,1,0.72531775,,,,
2,1,1,0.71867461,,,,
2,2,1,0.72214848,,,,
2,3,1,0.72863633,,,,
2,4,1,0.72634697,,,,
2,5,1,0.72393200,,,,
2,6,1,0.72496094,,,,
2,7,1,0.72615920,,,,
3,0,1,0.52229913,,,,
3,1,1,0.52209304,,,,
3,2,1,0.52378652,,,,
3,3,1,0.52476753,,,,
3,4,1,0.52468272,,,,
3,5,1,0.52652949,,,,
3,6,1,0.52701866,,,,
3,7,1,0.52728352,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.42757365,,,,
5,1,1,0.42950633,,,,
5,2,1,0.42975194,,,,
5,3,1,0.42712669,,,,
5,4,1,0.42936262,,,,
5,5,1,0.43156963,,,,
5,6,1,0.43090378,,,,
5,7,1,0.42727676,,,,
6,0,1,0.68909430,,,,
6,1,1,0.68971870,,,,
6,2,1,0.69008757,,,,
6,3,1,0.68699680,,,,
6,4,1,0.69980436,,,,
6,5,1,0.68482949,,,,
6,6,1,0.68807200,,,,
6,7,1,0.68818001,,,,
7,0,1,0.62520599,,,,
7,1,1,0.62037866,,,,
7,2,1,0.62375884,,,,
7,3,1,0.62491502,,,,
7,4,1,0.62354094,,,,
7,5,1,0.62338849,,,,
7,6,1,0.62047097,,,,
7,7,1,0.62017524,,,,
